Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status
2021-11-12,6:00 PM,7:00 PM,Philadelphia Flyers,2,Carolina Hurricanes,1,Regulation
2021-11-12,6:00 PM,7:00 PM,Washington Capitals,4,Columbus Blue Jackets,3,Regulation
2021-11-12,7:30 PM,8:30 PM,Arizona Coyotes,1,Chicago Blackhawks,2,Regulation
2021-11-13,12:00 PM,1:00 PM,Boston Bruins,5,New Jersey Devils,2,Regulation
2021-11-13,6:00 PM,7:00 PM,Toronto Maple Leafs,5,Buffalo Sabres,4,Regulation
2021-11-13,6:00 PM,7:00 PM,Pittsburgh Penguins,3,Ottawa Senators,6,Regulation
2021-11-13,6:00 PM,7:00 PM,Montreal Canadiens,2,Detroit Red Wings,3,OT
2021-11-13,6:00 PM,7:00 PM,Florida Panthers,2,Tampa Bay Lightning,3,OT
2021-11-13,6:00 PM,7:00 PM,New York Rangers,5,Columbus Blue Jackets,3,Regulation
2021-11-13,6:00 PM,7:00 PM,Los Angeles Kings,2,Winnipeg Jets,3,OT
2021-11-13,6:30 PM,7:30 PM,St. Louis Blues,2,Carolina Hurricanes,3,Regulation
2021-11-13,7:00 PM,8:00 PM,Arizona Coyotes,1,Nashville Predators,4,Regulation
2021-11-13,7:00 PM,8:00 PM,Philadelphia Flyers,2,Dallas Stars,5,Regulation
2021-11-13,8:00 PM,9:00 PM,San Jose Sharks,2,Colorado Avalanche,6,Regulation
2021-11-13,9:00 PM,10:00 PM,Vancouver Canucks,4,Vegas Golden Knights,7,Regulation
2021-11-13,9:00 PM,10:00 PM,Minnesota Wild,4,Seattle Kraken,2,Regulation
2021-11-14,4:00 PM,5:00 PM,Calgary Flames,4,Ottawa Senators,0,Regulation
2021-11-14,6:00 PM,7:00 PM,Montreal Canadiens,2,Boston Bruins,5,Regulation
2021-11-14,6:00 PM,7:00 PM,New Jersey Devils,3,New York Rangers,4,SO
2021-11-14,6:00 PM,7:00 PM,Pittsburgh Penguins,1,Washington Capitals,6,Regulation
2021-11-14,6:00 PM,7:00 PM,Edmonton Oilers,5,St. Louis Blues,4,Regulation
2021-11-14,7:00 PM,8:00 PM,Vancouver Canucks,1,Anaheim Ducks,5,Regulation
2021-11-15,6:00 PM,7:00 PM,New York Islanders,1,Tampa Bay Lightning,4,Regulation
2021-11-15,6:00 PM,7:00 PM,Detroit Red Wings,3,Columbus Blue Jackets,5,Regulation
2021-11-16,6:00 PM,7:00 PM,Nashville Predators,0,Toronto Maple Leafs,3,Regulation
2021-11-16,6:00 PM,7:00 PM,New York Islanders,1,Florida Panthers,6,Regulation
2021-11-16,6:00 PM,7:00 PM,Montreal Canadiens,2,New York Rangers,3,Regulation
2021-11-16,6:00 PM,7:00 PM,Calgary Flames,1,Philadelphia Flyers,2,OT
